Q100	Q100_R37	0.999965	1.0	0.62582	0.0509996	0.00705303	0.999965	0.961196	0.964928	0.99902	1.0
Q100	Q100_R39	0.989129	0.668006	1.0	1.0	0.999992	0.961196	1.0	1.0	1.0	0.998706
Q100	Q100_R4	1.0	0.968706	2.25394e-07	0.107427	0.997577	1.0	0.999988	0.999998	0.99983	0.999998
Q100	Q100_R42	0.00126128	0.0275034	0.999984	1.97551e-08	1.0	3.75512e-11	3.75512e-11	0.999978	0.130076	3.28119e-09
Q100	Q100_R46	0.999499	0.0996895	1.0	0.625539	9.73292e-07	0.999463	0.997303	1.0	0.0373747	0.000205875
Q100	Q100_R50	0.999899	0.999997	9.54268e-09	0.000120907	0.99455	0.0003303	0.999994	0.00460504	0.00758763	4.24026e-06
Q100	Q100_R57	1.0	1.0	1.0	0.990181	0.000318421	0.999968	0.999997	1.0	9.07428e-06	0.00766366
Q100	Q100_R7	0.000306668	0.0207252	0.818733	3.07756e-10	1.0	0.000281455	0.541309	0.0436472	0.147808	2.03998e-09
Q100	Q100_R71	0.868901	0.000204	0.0528617	0.843245	0.999889	2.82387e-13	0.822784	1.0	0.0243427	0.999997
Q100	Q100_R9	2.48694e-05	9.78684e-05	0.999996	0.999999	0.000169922	0.000373489	1.0	0.482705	1.0	0.000164053
Q101	Q101_R15	5.19447e-09	2.05693e-06	1.0	0.000281051	3.7488e-05	0.500705	4.82692e-07	4.6496e-10	3.41922e-09	0.99782
Q101	Q101_R22	5.23407e-09	2.44487e-06	0.378551	0.00488982	0.947997	0.00236627	2.11002e-06	0.00516887	3.20327e-12	0.948651
Q101	Q101_R25	0.557031	2.89149e-07	0.966661	1.65424e-06	9.4781e-11	0.999911	4.56086e-08	7.74986e-06	1.05751e-09	0.000197882
Q101	Q101_R3	0.954763	0.947908	3.50633e-08	2.01532e-09	0.00287499	3.80643e-12	3.16762e-06	0.00942275	1.0	0.999999
Q101	Q101_R39	0.186182	6.37452e-05	0.136385	2.55052e-05	1.30906e-11	4.42575e-13	2.69671e-05	0.929081	0.929081	0.929081
Q101	Q101_R44	0.0490887	0.999621	5.21816e-10	2.06129e-11	5.15838e-07	0.000343751	1.65938e-08	1.78055e-14	3.69541e-12	0.984906
Q101	Q101_R45	0.0016141	0.994635	0.938376	1.4208e-14	0.0277236	7.31534e-05	2.19553e-07	2.0728e-06	2.32428e-11	0.999999
Q101	Q101_R46	0.24858	0.309768	0.309768	3.44625e-07	0.999398	0.999918	1.30171e-05	3.09699e-06	0.0014911	6.24269e-10
Q101	Q101_R48	3.77395e-05	0.420624	2.66921e-20	8.13686e-13	1.05259e-05	0.99661	0.0149132	0.999999	0.000850012	5.38623e-07
Q101	Q101_R59	0.999999	1.2093e-06	0.956943	3.14492e-09	0.589955	0.017707	7.4591e-10	0.999791	7.48558e-06	0.999667
Q102	Q102_R12	0.999996	2.35455e-07	1.88633e-08	1.0	2.60421e-09	3.96934e-08	5.33448e-05	0.00114491	0.0436196	4.36899e-09
Q102	Q102_R13	0.0460245	0.999508	1.0	1.0	1.0	0.999936	0.119945	0.000203034	0.00706354	2.80115e-07
Q102	Q102_R17	0.999995	1.0	1.02666e-10	0.118805	1.0	1.02863e-10	0.999391	1.19254e-14	0.999358	0.995464
Q102	Q102_R31	2.19553e-09	5.51633e-06	0.374154	1.3185e-09	0.99993	2.03401e-08	6.91088e-10	8.34164e-10	3.09044e-05	0.732321
Q102	Q102_R34	0.00964764	0.98652	0.999999	0.00343305	1.0	1.57766e-08	0.995277	0.675714	4.491e-15	9.53722e-05
Q102	Q102_R35	0.999992	0.129313	0.000552151	0.999475	0.00619454	0.987454	1.0	0.987454	0.999895	0.997411
Q102	Q102_R41	0.960887	0.00471599	1.0	1.0	0.983792	1.0	0.00183156	0.0242677	1.0	8.65173e-05
Q102	Q102_R54	1.93384e-08	1.0	6.2329e-15	1.0	7.19226e-07	0.957353	1.0	8.96129e-12	0.0178866	0.00600563
Q102	Q102_R69	0.0335159	1.0	9.08369e-10	1.53987e-10	0.637771	0.000812161	0.997954	0.000105719	1.93314e-09	0.444774
Q102	Q102_R9	0.293529	0.0196692	5.50002e-11	2.22487e-06	2.51732e-06	0.998989	0.999999	1.22274e-06	0.00132046	1.11135e-08
Q103	Q103_R13	3.08188e-07	2.35378e-08	0.999999	0.0731506	1.0	1.0	1.0	0.00136167	1.0	9.97221e-13
Q103	Q103_R14	0.041934	0.999999	1.0	1.0	0.824377	1.0	2.34529e-16	1.0	1.0	3.37392e-05
Q103	Q103_R31	0.308258	1.0	2.23657e-10	1.0	1.0	0.999959	7.71385e-06	2.64731e-06	8.58329e-05	5.87266e-05
Q103	Q103_R39	0.999996	9.75844e-17	0.133391	1.25568e-05	0.202629	0.0180649	2.16097e-12	3.3995e-08	5.83991e-07	4.32911e-14
